,name,department,rating,total_ratings,would take again,difficulty
1848,Robert Icenhauer Ramirez,History,4.8,10 ratings,100%,3.3
1849,Sam Lavigne,Design,5,1 ratings,100%,3
1850,Kelcey Gray,Design,2,4 ratings,34%,3.5
1851,Jenny Singleton,Linguistics,4,1 ratings,100%,1
1852,Donna DeCesare,Communication,4.3,4 ratings,75%,3
1853,Alan Covey,Anthropology,3,17 ratings,57%,3.3
1854,Dan Breecker,Geology,3.8,19 ratings,84%,3.4
1855,Shetal Vohra,Anthropology,5,6 ratings,100%,1.5
1856,James Walker,Biology,2.4,11 ratings,23%,4.2
1857,Christopher Roldan,Film,0,0 ratings,N/A,0
1858,Matthew Breece,English,5,4 ratings,100%,3
1859,Mary Rose,Sociology,3.8,9 ratings,80%,3.7
1860,Kemper Lipscomb,Education,5,1 ratings,100%,3
1861,Meg Mendenhall,English,0,0 ratings,100%,0
1862,Mian Jia,Communication,0,0 ratings,N/A,0
1863,Michael Froehls,Business,3.6,12 ratings,67%,3.1
1864,Patricia Wilson,Architecture,3.3,4 ratings,80%,4
1865,Lucille Wood,Law,1,1 ratings,0%,3
1866,Alexandra Eusebi,Education,4.5,2 ratings,100%,2
1867,Dorota Biczel,Art History,3,3 ratings,34%,3.7
1868,Merabet Sofian,Women's Studies,0,0 ratings,N/A,0
1869,Thomas Yankeelov,Engineering,5,2 ratings,100%,2.5
1870,David Ben-Zvi,Mathematics,3.9,13 ratings,88%,3.2
1871,Katey Psencik,Journalism,4.8,5 ratings,100%,1
1872,Riel Sturchio,Fine Arts,5,1 ratings,100%,2
1873,Keith Hawkins,Astronomy,5,10 ratings,100%,1.7
1874,Kiril Avramov,Government,5,2 ratings,100%,3
1875,Marcelo Paixão,Ethnic Studies,4.7,6 ratings,92%,2.3
1876,David DiCarlo,Engineering,3,4 ratings,67%,4.3
1877,Andrew Akhlaghi,History,5,1 ratings,100%,4
1878,Douglas Morrice,Management,5,5 ratings,100%,3.4
1879,Liesl Nydegger,Health Science,3.7,3 ratings,75%,2
1880,James Golby,Government,5,1 ratings,100%,3
1881,Timothy Beach,Geography,2.5,4 ratings,40%,4.2
1882,Sujay Sanghavi,Engineering,1,2 ratings,0%,4.5
1883,Yan Zhang,Biology,5,1 ratings,100%,2
1884,Paul Damien,Business,3.2,11 ratings,69%,3.5
1885,Lea Hildebrandt Ruiz,Engineering,0,0 ratings,50%,0
1886,Jeongin Lee,Music,0,0 ratings,N/A,0
1887,Susan Deans-Smith,History,0,0 ratings,N/A,0
1888,Nur Touba,Engineering,3.5,2 ratings,100%,3
1889,Karen Fingerman,Human Dev & Family Sciences,5,2 ratings,100%,2
1890,Phil Stanforth,Kinesiology Health,4.6,7 ratings,89%,3.3
1891,Lance Sallis,Business,5,6 ratings,100%,2.5
1892,Ramesh Rao,Finance,2.8,15 ratings,23%,4.1
1893,Elif Seckin,Mathematics,3.3,6 ratings,100%,3.8
1894,Beth Eby,Women's Studies,5,2 ratings,100%,2
1895,Steve Swinnea,Engineering,3.3,4 ratings,84%,3
1896,Annie Bares,English,4,2 ratings,50%,2.5
1897,Michele Hildrum,Management,2,1 ratings,0%,4
1898,Craig Blaha,Information Science,3.3,8 ratings,60%,2.7
1899,Joseph Cozza,Government,5,3 ratings,100%,2.3
1900,Mina Ogando-Lavin,Spanish Portuguese,3.8,9 ratings,79%,2.9
1901,Kirk Goldsberry,Management,5,2 ratings,100%,2
1902,Samantha Santacruz,Engineering,4,1 ratings,100%,2
1903,Michael Pearson,Journalism,5,7 ratings,100%,2.5
1904,Aaron Baker,Engineering,0,0 ratings,100%,0
1905,Juliet Walker,History,2.2,16 ratings,28%,2.6
1906,Megan Crowhurst,Linguistics,3.1,10 ratings,63%,3.6
1907,Katie Gray,Management Info Systems,3.8,10 ratings,73%,3.8
1908,Tamar Laddy,Film,3.5,2 ratings,50%,4
1909,Caroline Bartel,Management,4.7,3 ratings,100%,1.7
1910,Ivaacuten Lopez,American Studies,1,1 ratings,0%,5
1911,Suzanne Burdick,Communication,0,0 ratings,N/A,0
1912,Mark Evans,Business,1.6,10 ratings,10%,3.9
1913,Kurt Heinzelman,English,4.3,7 ratings,80%,2.5
1914,Piero Visconte,Languages,1,1 ratings,80%,3
1915,Wenrui Chai,Chemistry,0,0 ratings,100%,0
1916,Beth Link,Education,0,0 ratings,N/A,0
1917,Kristie Kelly,Government,4.4,7 ratings,88%,3
1918,Michael Cullinan,Engineering,2,5 ratings,34%,3.6
1919,Thomas Palaima,Classics,3.7,20 ratings,55%,2.6
1920,Steven Phelps,Biology,3.3,7 ratings,78%,3.7
1921,Stefano Eusepi,Economics,4.5,2 ratings,100%,3
1922,Filippo Mangolini,Engineering,5,4 ratings,100%,3
1923,Karl Gebhardt,Astronomy,4,34 ratings,100%,3.3
1924,Gray Garmon,Design,5,2 ratings,100%,2
1925,Felicity Muth,Biology,3,2 ratings,75%,3
1926,Jacob Ptacek,Writing,4.6,9 ratings,100%,2.1
1927,John Hoberman,Ethnic Studies,3.4,7 ratings,75%,3
1928,James Patterson,Classics,4,36 ratings,69%,3.7
1929,Claudia Pisano,Italian,4,2 ratings,50%,4
1930,Deirdre Smith,Art History,3.5,6 ratings,88%,3.2
1931,Julianne Phillips,Government,3,2 ratings,50%,1.5
1932,Ivan Char-Lopez,American Studies,1,2 ratings,34%,4.5
1933,Thomas Lindsay,Communication,3.4,7 ratings,29%,4
1934,Franchelle Dorn,Theatre & Dance,3.5,2 ratings,50%,4
1935,Elliot Tucker Drob,Psychology,3.3,3 ratings,84%,2
1936,Jamie O'Quinn,Sociology,5,2 ratings,100%,1.5
1937,Blair Johnson,Civil Engineering,4.4,8 ratings,70%,3.9
1938,Mona Medhy,Biology,0,0 ratings,N/A,0
1939,Graeme Henkelman,Chemistry,3.5,9 ratings,75%,3.8
1940,Monica Jimenez,Mexican American Studies,3.9,8 ratings,56%,2.5
1941,Rachel German,Management & Info Systems,5,1 ratings,100%,4
1942,Thomas Sager,Business,0,0 ratings,N/A,0
1943,Chikako Cooke,Asian Studies,4.8,10 ratings,100%,2.9
1944,Emilie Pagano,Philosophy,5,2 ratings,100%,3
1945,Carly Montagnolo,Communication,1,1 ratings,67%,4
1946,James Gabrillo,Music,5,1 ratings,100%,1
1947,Rebecca Callahan,Education,5,5 ratings,100%,2.8
1948,Ronald Covey,Anthropology,4.3,3 ratings,100%,2.3
1949,Nathan Jensen,Government,5,6 ratings,100%,2.7
1950,Tetyana Pudrovska,Sociology,4.2,22 ratings,89%,2
1951,Stephen Yi,Biology,1,1 ratings,0%,3
1952,Wayne Hickenbottom,Economics,2.6,194 ratings,37%,4.2
1953,DAVID SOLOVEICHIK,Engineering,5,1 ratings,100%,3
1954,Thomas Juenger,Biology,3.7,3 ratings,86%,3
1955,Nancy Moran,Biology,3,2 ratings,0%,3.5
1956,Alyson Beaton,Design,0,0 ratings,N/A,0
1957,Jesse Pisel,Geology,4.3,3 ratings,67%,2
1958,Quoc Nguyen,Engineering,3.3,6 ratings,60%,4.3
1959,Pascale Bos,Languages,3.7,15 ratings,40%,3.2
1960,Karen Landolt,Business,3.8,12 ratings,79%,2.9
1961,John Davis,Marketing,4.3,6 ratings,84%,2.8
1962,Caroline Farrior,Biology,4,1 ratings,100%,5
1963,Jon Huibregtse,Biology,3.3,3 ratings,67%,4
1964,Seth Bank,Engineering,4.1,22 ratings,93%,4
1965,Emily Que,Chemistry,2.8,10 ratings,30%,3.7
1966,Joshua Gunn,Communication,3.4,13 ratings,62%,2.9
1967,Sam Raskin,Mathematics,4,2 ratings,100%,3.5
1968,Ronny Hadani,Mathematics,4.8,4 ratings,100%,3.5
1969,Lillian Mills,Accounting,0,0 ratings,N/A,0
1970,Margaret Mendenhall,English,0,0 ratings,N/A,0
1971,Bruce Pennycook,Film,1,1 ratings,0%,3
1972,Janet Ellzey,Engineering,1.7,3 ratings,50%,3.7
1973,Solomon Manukure,Mathematics,3.7,43 ratings,77%,2.8
1974,Jacques Distler,Physics,1,1 ratings,0%,5
1975,Liu Peng,Music,4.9,13 ratings,100%,1.4
1976,Gregory Anderson,Geography,3.7,4 ratings,80%,1.5
1977,Robert Luskin,Political Science,3.4,7 ratings,25%,2.7
1978,Frane Karabatic,Languages,2,1 ratings,0%,5
1979,Ronen Avraham,Law,2.9,3 ratings,0%,2.7
1980,Nathaniel Lynd,Engineering,2.7,3 ratings,67%,3.7
1981,Barry Brummett,Communication,2.8,4 ratings,25%,3.3
1982,Amelia Wolf,Biology,3,6 ratings,58%,1.8
1983,Claire Maes,Asian Studies,3.5,6 ratings,67%,3
1984,Shelbey Rolison,Communication,4,3 ratings,67%,3.3
1985,Anna Gal,Computer Science,4,1 ratings,0%,5
1986,Teri Fickling,English,4,1 ratings,100%,2
1987,Rose Potter,Spanish & Portuguese,4.6,9 ratings,89%,3.4
1988,Russ Hatchell,Film,5,1 ratings,100%,4
1989,John Duke,Languages,0,0 ratings,N/A,0
1990,Hayley Barnett,Classics,5,1 ratings,100%,2
1991,Nicole Burrowes,Ethnic Studies,4,1 ratings,100%,4
1992,Michael Charlesworth,Art History,3.5,10 ratings,67%,3.2
1993,Julia Clarke,Geology,0,0 ratings,N/A,0
1994,Shannon Dennis,Social Work,5,2 ratings,100%,1
1995,Jessica O'Bleness,Psychology,5,3 ratings,100%,2.7
1996,Erin Wike,Business,4.8,4 ratings,75%,1
1997,Jessica Goldstein-Kral,Sociology,4.8,4 ratings,100%,2.8
1998,Antonella Olson,Languages,4.5,18 ratings,91%,2.6
1999,Abena Osseo-Asare,History,4.8,6 ratings,100%,1.8
2000,Jessica O'Connell,Marine Sciences,0,0 ratings,N/A,0
2001,Bryan Sitzes,Middle Eastern Studies,0,0 ratings,N/A,0
2002,Biniam Aregawi,Civil Engineering,5,1 ratings,100%,4
2003,Raissa Ferron,Civil Engineering,2.2,6 ratings,29%,4.5
2004,Adrian Keatinge-Clay,Chemistry,2.5,11 ratings,17%,4.5
2005,Rosa Schnyer,Nursing,2.9,8 ratings,25%,1.7
2006,Beili Liu,Fine Arts,4.4,6 ratings,100%,3
2007,Susan O'Connor,Film,2,2 ratings,0%,4
2008,Mike Downer,Physics,2,3 ratings,34%,4.3
2009,Monique Pikus,Sociology,2.8,6 ratings,34%,3.8
2010,Fernando Llanos-Lucas,Linguistics,5,1 ratings,100%,2
2011,Claire Cooley,Middle Eastern Studies,4.5,2 ratings,100%,3.5
2012,Goh-Eun Kim,Biology,4.3,9 ratings,89%,3.3
2013,Tanya Clement,English,5,2 ratings,100%,2
2014,Sangeeta Kamdar,Communication,4.4,5 ratings,80%,3
2015,Patrick Walter,American Studies,4.3,6 ratings,93%,2.2
2016,Stephen Wechsler,Linguistics,4,3 ratings,75%,2.3
2017,H Morikawa,Biology,2,3 ratings,50%,4.3
2018,Luke Bishop,Spanish & Portuguese,5,1 ratings,100%,4
2019,Gloria Gonzalez-Lopez,Sociology,4.7,3 ratings,100%,2.3
2020,Chih-Hao Chang,Engineering,3,1 ratings,0%,3
2021,Galit Marmor-Lavie,Advertising,4.1,8 ratings,67%,2.5
2022,Erica Parker,Languages,3.1,14 ratings,54%,3.3
2023,Elaine Cavazos,Social Work,3,1 ratings,100%,2
2024,Aloysius Mok,Computer Science,1.9,5 ratings,0%,2.6
2025,Amelia Weinreb,Anthropology,5,9 ratings,100%,2.4
2026,Tamara Sanikidze,Music,0,0 ratings,N/A,0
2027,Florian Stecker,Mathematics,3.3,8 ratings,63%,3.6
2028,Raj Raghunathan,Marketing,4.7,3 ratings,100%,2
2029,Rudy Pett,Communication,3.6,5 ratings,67%,3.2
2030,Edward Anderson,Human Dev Family Sciences,3,13 ratings,62%,2.6
2031,D'Arcy Randall,Writing,4,5 ratings,75%,1.4
2032,Tracie Harrison,Nursing,5,1 ratings,100%,1
2033,Finn Frankis,Computer Science,0,0 ratings,100%,0
2034,Lorelei Batislaong,Music,5,2 ratings,100%,2
2035,Roger Bonnecaze,Engineering,2,2 ratings,67%,4
2036,KJ Sanchez,Theater,3.6,9 ratings,56%,2.3
2037,Carlos Ramos-Scharron,Geography,3.5,13 ratings,58%,3.4
2038,Thoralf Meyer,Geography,4.8,40 ratings,98%,2.6
2039,Molly Polk,Geography,3.8,14 ratings,54%,3.7
2040,Jayme Walenta,Geography,4.5,13 ratings,93%,2.2
2041,Alexandra Garcia,Nursing,5,5 ratings,100%,1.2
2042,Elizabeth Mayne,French Italian,4.5,2 ratings,100%,2
2043,Davida Charney,Writing,4.8,7 ratings,100%,2.1
2044,Kevin Thomas,Ethnic Studies,5,1 ratings,100%,2
2045,Ting Ho,Philosophy,5,1 ratings,100%,3
2046,Kelly McDonough,Spanish & Portuguese,4.8,10 ratings,100%,3
2047,Astrid Runggaldier,Art History,3.8,15 ratings,67%,2.9
2048,Bill Bloodgood,Theater,4.7,5 ratings,100%,2
2049,Ronald Barr,Engineering,4.1,7 ratings,86%,1.6
2050,Liu Xuecheng,Government,5,3 ratings,100%,2
2051,Deanna Buckley,Education,5,4 ratings,100%,2.7
2052,Ilya Finkelstein,Biology,2.6,10 ratings,50%,4
2053,Jennifer Ebbeler,Classics,3.2,25 ratings,50%,3.5
2054,Lindsey Smith,Mathematics,3.5,69 ratings,51%,3.6
2055,Sinead Williamson,Mathematics,3.3,14 ratings,65%,2.7
2056,Chiyo Nishida,Spanish amp Portuguese,2.3,3 ratings,34%,3.7
2057,Michael Marder,Physics,4.9,15 ratings,100%,3.1
2058,Anastazja Harris,Communication,0,0 ratings,N/A,0
2059,Jeremy Cudd,Theater,3.2,5 ratings,60%,2.8
2060,Katie Muenks,Education,2.9,19 ratings,62%,3.8
2061,Kristen Oglesbee,Literature,1.8,6 ratings,17%,3.3
2062,Penelope Davies,Fine Arts,4.2,18 ratings,79%,3.2
2063,Rose Bridges,Music,0,0 ratings,N/A,0
2064,Darsana Manayathu Sasi,Asian Studies,0,0 ratings,N/A,0
2065,Richard Brown,Nursing,4.4,5 ratings,80%,1.6
2066,Noah De Lissovoy,Education,5,2 ratings,100%,3
2067,Yenibel ruiz,Spanish amp Portuguese,3.5,4 ratings,72%,3.3
2068,Floyd Horng,Computer Science,5,4 ratings,100%,1
2069,Isaac Oster,Fine Arts,3.6,5 ratings,67%,4.4
2070,Melissa Skidmore,French Italian,3.6,8 ratings,73%,3.5
2071,Zengjian Chen,Biology,4,24 ratings,76%,3.4
2072,Matthew Rinaudo,Finance,0,0 ratings,100%,0
2073,Christina Markert,Physics,3.1,21 ratings,67%,2.9
2074,Sarah Colclough,English,2.5,2 ratings,50%,4.5
2075,Peter Stone,Computer Science,0,0 ratings,N/A,0
2076,Zachary Adamz,Asian Studies,5,2 ratings,100%,2.5
2077,Evan Stein,Psychology,5,3 ratings,100%,2
2078,Natalie Amleshi,English,5,1 ratings,100%,3
2079,WANXUE Dong,Management amp Info Systems,5,1 ratings,100%,3
2080,Elizabeth Cullingford,English,5,6 ratings,100%,3.2
2081,Ying Huang,Accounting,4.7,4 ratings,100%,3
2082,Nancy Guilloteau,French & Italian,5,2 ratings,100%,3.5
2083,Christian Claudel,Engineering,4,5 ratings,89%,2.8
2084,Daniel Drucker,Philosophy,4,1 ratings,84%,5
2085,Susan Mays,Asian Studies,3.4,5 ratings,60%,2.8
2086,Kris Martin,Education,4.8,6 ratings,100%,2.3
2087,Christopher Jolly,Nutrition,3.6,12 ratings,85%,2.8
2088,Ami Pedahzur,Political Science,4,14 ratings,75%,1.9
2089,Kit Belgum,Languages,4.3,6 ratings,67%,2.8
2090,Kristen Ederer,Information Science,1,1 ratings,0%,3
2091,Michelle Hsieh,Communication,3,4 ratings,25%,4
2092,Bradford Love,Advertising,4.9,16 ratings,100%,1.6
2093,Chantal Hailey,Sociology,4.8,5 ratings,100%,1.8
2094,Gary Jacobsohn,Political Science,3.3,9 ratings,100%,3.7
2095,Rachel González-Martin,Mexican American Studies,2,1 ratings,67%,5
2096,Micheal Mackert,Advertising,3.9,4 ratings,100%,3.2
2097,Dee Silverthorn,Biology,4.8,6 ratings,100%,3.7
2098,Carol Spaulding,Kinesiology & Health,3.5,6 ratings,84%,2
2099,Raffi Kiureghian,English,5,1 ratings,100%,3
2100,Diana Zamora-Olivares,Chemistry,3.1,7 ratings,60%,3.8
2101,Patti Brown,Accounting,3.5,12 ratings,70%,3.5
2102,Randal Linder,Biology,2.7,15 ratings,50%,4
2103,Kenneth Stokoe,Engineering,3.1,18 ratings,57%,2.8
2104,Rachel Lloyd,Communication,5,3 ratings,100%,4
2105,Kendall Tich,Communication,4.5,6 ratings,84%,3.2
2106,Marilyn Felkner,Science,3.7,42 ratings,68%,3.3
2107,David Hoffman,Chemistry,4.4,28 ratings,88%,3.4
2108,Deborah Jacobvitz,Human Dev amp Family Sciences,4.2,6 ratings,84%,2.5
2109,Nora England,Languages,4,21 ratings,78%,2.6
2110,Gina Chen,Journalism,4.7,3 ratings,100%,1.3
2111,Andreas Mueller,Economics,2,1 ratings,50%,3
2112,Yunina Barbour-Payne,Theater,2.8,5 ratings,43%,2.8
2113,Robert Carroll,Communication,3.7,19 ratings,74%,4.1
2114,Srimathi Kannan,Nutrition,2.5,9 ratings,45%,1.9
2115,Shirl Donaldson,Management,1,5 ratings,0%,3.6
2116,Joe Neeman,Mathematics,4.2,6 ratings,86%,3.7
2117,Huoy Khoo,Business,4.3,17 ratings,90%,3.5
2118,Jan Fox,Nursing,4.7,11 ratings,100%,1.9
2119,JK Barret,English,4.4,5 ratings,86%,4.2
2120,Elaine Li,Physics,4.8,5 ratings,100%,3.6
2121,Justin Hatch,Writing,4.5,4 ratings,100%,2.5
2122,Aleksandra Jaeschke,Architecture,5,2 ratings,100%,3.5
2123,Melissa Murphy,Management,4,21 ratings,88%,3.6
2124,B. Beasley,American Studies,4.8,4 ratings,100%,3.3
2125,Aaron O'Connell,History,5,12 ratings,100%,3.3
2126,Huaiyin Li,History,3.3,4 ratings,34%,3
2127,Pramit Chaudhuri,Classics,3.8,4 ratings,50%,3.5
2128,Haydee Rodriguez,Education,2,1 ratings,0%,3
2129,Doris Baker,Education,0,0 ratings,N/A,0
2130,Melissa Rojas Williams,Education,0,0 ratings,N/A,0
2131,Nathaniel Pancost,Finance,2.8,13 ratings,54%,3.9
2132,Brendan Kline,Economics,3.5,6 ratings,89%,1.8
2133,Simone Gubler,Philosophy,5,3 ratings,100%,2.3
2134,Abimbola Adelakun,Theater,2.7,6 ratings,60%,2.5
2135,Alexander Huk,Science,3,2 ratings,50%,1
2136,Alan Friedman,English,4.2,9 ratings,40%,3
2137,Jennifer Smith,Education,5,4 ratings,100%,2.5
2138,Sarah Brayne,Sociology,4.8,23 ratings,100%,2.5
2139,Gabriel Sanoja,Engineering,0,0 ratings,100%,0
2140,Katie Stewart,Anthropology,4.8,4 ratings,100%,1.5
2141,Chris Prosise,Computer Science,3.7,6 ratings,84%,2.5
2142,Francesco Maggi,Mathematics,3.8,8 ratings,100%,2
2143,Jon Olson,Engineering,3.3,7 ratings,84%,2.8
2144,Michael Pyrcz,Engineering,4.5,2 ratings,100%,2
2145,Jeffrey Tulis,Government,3.7,4 ratings,60%,4
2146,Esther Raizen,Humanities,5,1 ratings,100%,4
2147,Dana Ballard,Computer Science,3.4,9 ratings,40%,2.4
2148,Carl Forrest,Marketing,0,0 ratings,N/A,0
2149,Jonathan Sessler,Chemistry,3.3,24 ratings,54%,3.9
2150,Gregory Knapp,Geography,4.3,35 ratings,80%,2
2151,Tse-Min Lin,Government,3,1 ratings,100%,2
2152,Daniyar Saparov,Science,5,2 ratings,100%,1
2153,Kathleen Kelleher,Government,0,0 ratings,N/A,0
2154,Brian Roberts,Political Science,3.6,9 ratings,43%,3.8
2155,Tatiana Encheva,Business,1.5,23 ratings,10%,3.7
2156,Jennifer Mann,Mathematics,4,25 ratings,79%,2
2157,Gordon Novak,Computer Science,3.8,37 ratings,84%,2.1
2158,Tatjana Lichtenstein,History,4.3,3 ratings,100%,4.3
2159,Omer Ozcan,Anthropology,4.1,8 ratings,100%,2.3
2160,Maurizio Viroli,Philosophy,4.5,6 ratings,91%,1.8
2161,Nigel Atkinson,Biology,2,8 ratings,25%,3.6
2162,Roberto Santillan,Finance,1.5,2 ratings,0%,4
2163,Peter Lasalle,English,3.5,8 ratings,58%,2.6
2164,Jason Sagers,Engineering,3.2,5 ratings,60%,4.4
2165,Kirkland Fulk,Ethnic Studies,4.8,8 ratings,100%,2.1
2166,Venkat Ganesan,Engineering,3.3,3 ratings,75%,4
2167,Jennifer Maynard,Engineering,2.9,5 ratings,34%,2.6
2168,Brian Dinsmoor,Engineering,0,0 ratings,N/A,0
2169,Aarti Bhalodia,Asian Studies,0,0 ratings,25%,0
2170,Geeta Persad,Geology,4,1 ratings,100%,2
2171,Petre Petrov,Ethnic Studies,3,1 ratings,50%,4
2172,Shannon Cavanagh,Sociology,4.4,18 ratings,89%,2.3
2173,Petar Petrov,History,4,1 ratings,0%,4
2174,Desiderio Kovar,Engineering,2,1 ratings,50%,3
2175,Sara Sanchez,Business,4.3,7 ratings,100%,1.9
2176,Vera Liu,Statistics,4,1 ratings,100%,2
2177,Kamran Ali,Anthropology,4.3,7 ratings,72%,2.9
2178,Marina Peterson,Anthropology,4.6,5 ratings,100%,2.2
2179,Jacek Gwizdka,Information Science,3,1 ratings,100%,1
2180,Steven Hernandez,Marketing,4.3,47 ratings,85%,2.9
2181,Bruce Wells,Religion,5,6 ratings,100%,3.5
2182,Rikke Cortsen,Languages,5,7 ratings,100%,2.3
2183,Aaron Zimmerman,Physics,5,3 ratings,100%,3
2184,Ian Molineux,Biology,3,5 ratings,84%,3.8
2185,Barbara Laubenthal,Government,4.8,6 ratings,100%,2.2
2186,Jae Johnson,Languages,4.5,16 ratings,95%,2
2187,Michael Sadler,Economics,4.2,13 ratings,89%,3.4
2188,Michael Denly,Government,0,0 ratings,N/A,0
2189,Gurpreet Singh,Engineering,3,5 ratings,60%,3.2
2190,Darlene Wiley,Music,0,0 ratings,N/A,0
2191,Chelsi Oheuri,Anthropology,5,2 ratings,100%,3.5
2192,Jeff Andrien,Finance,5,1 ratings,100%,4
2193,Kristen Procko,Biology,0,0 ratings,N/A,0
2194,Shalah Mostashari,Economics,2.6,49 ratings,23%,3.5
2195,Kay McMurry,Biology,4.6,10 ratings,100%,2.6
2196,David Stein,Biology,4,3 ratings,75%,4.7
2197,Richard Meier,Linguistics,4.3,3 ratings,100%,3
2198,Peter Burton,Mathematics,3.6,15 ratings,60%,3.4
2199,Andrew Blumberg,Mathematics,1,1 ratings,0%,5
2200,Karishma Kaushik,Biology,5,4 ratings,100%,2
2201,David Zuckerman,Computer Science,1.5,2 ratings,34%,4.5
2202,Lisa Bennett,Advertising,0,0 ratings,N/A,0
2203,Silvia Ramirez,Spanish & Portuguese,3,15 ratings,37%,3.2
2204,Matt Eastin,Advertising,3.5,11 ratings,84%,3.1
2205,Rebecca Neal-Beevers,Psychology,4.4,10 ratings,86%,3
2206,Jennifer Glass,Social Science,4.5,13 ratings,100%,3
2207,Adele Nelson,Art History,4,11 ratings,59%,3.5
2208,Lynne Wilkinson,International Studies,3.1,9 ratings,100%,2.8
2209,Briana Toole,Philosophy,4.5,2 ratings,100%,3.5
2210,Deepak Chetty,Fine Arts,5,2 ratings,100%,3
2211,Andrew Gershoff,Marketing,0,0 ratings,N/A,0
2212,Daron Shaw,Political Science,3.7,80 ratings,73%,3.4
2213,Bruce Eldridge,Engineering,4,1 ratings,100%,3
2214,Scott Spicer,Engineering,4,1 ratings,100%,2
2215,Delia Montesinos,Spanish & Portuguese,4.4,14 ratings,84%,3
2216,Sonya Seeman,Music,4.5,4 ratings,100%,2.5
2217,Cheng-Wei Lin,Middle Eastern Studies,4.3,3 ratings,100%,3.7
2218,Joel Johnson,Geology,3.5,29 ratings,60%,3.1
2219,Courtney Powers,Communication,3.6,8 ratings,50%,2.8
2220,Donnie Sackey,Writing,4.8,4 ratings,100%,2
2221,Luis Aviles,Spanish & Portuguese,5,1 ratings,100%,2
2222,Samy Ayoub,Government,4,14 ratings,87%,2.8
2223,Hannah Hopkins,Writing,5,2 ratings,100%,2.5
2224,Jeff Helmer,Music,4.5,22 ratings,100%,1.2
2225,Brian Mills,Finance,1,1 ratings,50%,5
2226,Donglei Fan,Engineering,4,1 ratings,100%,3
2227,Steven Marshall,Political Science,4.4,8 ratings,100%,3.8
2228,Jeanne Stachowiak,Engineering,3.5,2 ratings,75%,3.5
2229,Fiona Conway,Social Work,5,3 ratings,100%,2
2230,Yoel Villahermosa,Spanish amp Portuguese,5,11 ratings,100%,2.6
2231,Nathan Engel-Hawbecker,Philosophy,5,2 ratings,100%,3
2232,Wendy Domjan,Psychology,3.7,71 ratings,70%,2.8
2233,Vladimir Samoylenko,Chemistry,3.4,43 ratings,61%,3.9
2234,Jessica Church Lang,Psychology,4.3,12 ratings,95%,2.4
2235,Samantha Pinto,English,4,15 ratings,87%,2.8
2236,Sierra Senzaki,Writing,3.3,7 ratings,58%,2.8
2237,Saraswati Majumdar,Writing,5,2 ratings,100%,2
2238,Mansi Bajaj,Asian Studies,5,16 ratings,100%,2.2
2239,Mackenzie Howard,Biology,2,18 ratings,17%,4.8
2240,Delia Brownson,Social Work,2.5,2 ratings,50%,4
2241,Pedro Metola,Chemistry,5,11 ratings,100%,2.4
2242,Mark Cloos,Geology,0,0 ratings,N/A,0
2243,Gail Grabner,Chemistry,3.3,56 ratings,63%,3.6
2244,Chih-Wei Chang,Languages,4.7,12 ratings,100%,3.6
2245,Haley Eazor,English,0,0 ratings,100%,0
2246,Samuel Wallen,Engineering,5,2 ratings,100%,4
2247,Julia Mickenberg,American Studies,4,3 ratings,80%,3.7
2248,Catherine Hough,Social Work,4.5,2 ratings,100%,3
2249,Nicholas Fey,Engineering,4,1 ratings,100%,3
2250,Lauren Webb,Chemistry,3.3,26 ratings,45%,3.8
2251,Stanley Gunn,Information Science,5,1 ratings,100%,2
2252,Patrick Badolato,Accounting,3.7,13 ratings,72%,4.2
2253,Jonathan Jarvis,Anthropology,5,4 ratings,100%,1.2
2254,Karen Ostlund,Science,4,10 ratings,70%,2.1
2255,Lisa Sigafoos,Education,4.6,7 ratings,88%,2
2256,Aditya Tewari,Computer Science,5,9 ratings,100%,4.2
2257,Arya Farahi,Statistics & Data Science,0,0 ratings,100%,0
2258,Gerald Speitel,Engineering,0,0 ratings,N/A,0
2259,Edward Theriot,Biology,4.3,19 ratings,83%,3.5
2260,Sheldon Landsberger,Engineering,0,0 ratings,100%,0
2261,Jeffrey Treem,Communication,4.7,3 ratings,100%,1.3
2262,Dana Moshkovitz,Computer Science,4.4,9 ratings,82%,3.7
2263,Ernest Kaulbach,English,3.6,16 ratings,60%,1.8
2264,Rosemary Lester-Smith,Communication,3,4 ratings,67%,3.5
2265,Zachary Elkins,Government,5,3 ratings,100%,2
2266,John Fry,English,3.3,6 ratings,50%,2
2267,Katherine Davis,Mathematics,3.5,114 ratings,62%,2.6
2268,Brian Belardi,Engineering,4,1 ratings,100%,5
2269,Mark Kirkpatrick,Biology,3.2,12 ratings,67%,3.9
2270,Ariel Evans,Art History,3.8,6 ratings,50%,3.3
2271,Flávio Azevedo,Education,4.8,4 ratings,100%,3.5
2272,Jack Turner,Physics,2.7,9 ratings,75%,3.6
2273,George Forgie,History,4.5,23 ratings,71%,3.9
2274,Matt McCutchin,Advertising,4.4,27 ratings,84%,1.3
2275,William Sage,Law,0,0 ratings,N/A,0
2276,Luiz Brandao,Statistics & Data Science,0,0 ratings,100%,0
2277,John Rumrich,English,4.2,13 ratings,75%,3.2
2278,Kunal Nalamwar,Engineering,1.3,3 ratings,0%,2
2279,Kevin Clarno,Engineering,0,0 ratings,100%,0
2280,Molly McGee,Information Studies,5,1 ratings,100%,1
